Number of Rows (Aggregated),CGM_Client,Ad set name,Ad name,Month,Year,Platform,Placement,Device platform,Reach,Impressions,Cost per result,Amount spent (USD),CPC (cost per link click),Link clicks,Clicks (all),CPC (all),"CPM (cost per 1,000 impressions)",CTR (all),Frequency
59,CGM_APTIVA,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,11,2021,facebook,facebook_stories,mobile_app,2278,2327,,192.91,83.82,42,43,83.48,4911.18,99.6,60.04
59,CGM_APTIVA,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,11,2021,facebook,marketplace,desktop,781,918,,17.18,1.92,4,4,1.92,1151.21,17.41,69.97
60,CGM_APTIVA,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,11,2021,facebook,feed,mobile_web,1474,1599,,167.21,70.94,22,70,84.71,5872.32,319.38,64.56
60,CGM_APTIVA,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,11,2021,facebook,feed,desktop,7541,8091,,867.32,349.04,125,189,244.72,6717.67,141.47,64.03
60,CGM_APTIVA,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,11,2021,facebook,video_feeds,mobile_app,16225,16931,,772.16,127.34,295,436,91.05,2699.74,134.16,62.17
60,CGM_APTIVA,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,11,2021,facebook,instream_video,mobile_app,1555,1663,,119.43,42.37,52,53,41.08,4161.85,228.1,63.12
60,CGM_APTIVA,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,11,2021,audience_network,rewarded_video,mobile_app,2698,3467,,316.37,170.84,64,64,170.84,5700.5,92.43,76.09
60,CGM_APTIVA,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,11,2021,audience_network,an_classic,mobile_app,9593,13484,,1028.76,275.08,230,227,277.46,5083.71,101.06,82.68
60,CGM_APTIVA,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,11,2021,facebook,feed,mobile_app,34888,39281,,3757.38,252.75,959,1419,166.06,6221.45,238.52,66.06
60,CGM_APTIVA,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,11,2021,unknown,unknown,unknown,0,0,,0,,,0,,,,0
1,CGM_APTIVA,Abbott Laboratories,CGM Video Ad- Senior,12,2021,facebook,marketplace,desktop,1,1,,0.01,,,0,,10,0,1
2,CGM_APTIVA,Abbott Laboratories,CGM Video Ad- Senior,12,2021,instagram,instagram_reels,mobile_app,4,4,,0.9,,,0,,626.67,0,2
2,CGM_APTIVA,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,12,2021,facebook,search,mobile_app,2,2,,0.17,,,1,0.02,170,100,2
9,CGM_APTIVA,Abbott Laboratories,CGM Video Ad- Senior,12,2021,audience_network,rewarded_video,mobile_app,29,55,,2.73,,,0,,425.3,0,16.57
11,CGM_APTIVA,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,12,2021,audience_network,an_classic,desktop,16,22,,0.52,,,0,,204.02,0,13
14,CGM_APTIVA,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,12,2021,audience_network,rewarded_video,desktop,18,27,,2.07,0.1,1,1,0.1,1477.28,25,21
15,CGM_APTIVA,Abbott Laboratories,CGM Video Ad- Senior,12,2021,audience_network,an_classic,mobile_app,52,71,,3.87,,,0,,976.62,0,18.72
15,CGM_APTIVA,Abbott Laboratories,CGM Video Ad- Senior,12,2021,facebook,marketplace,mobile_app,27,29,,1.27,0.43,3,6,0.35,563.66,186.67,15.5
16,CGM_APTIVA,Abbott Laboratories,CGM Video Ad- Senior,12,2021,facebook,instream_video,mobile_app,30,30,,1.6,,,0,,831.45,0,16
17,CGM_APTIVA,Abbott Laboratories,CGM Video Ad- Senior,12,2021,instagram,instagram_stories,mobile_app,33,42,,0.62,,,0,,268.29,0,21.67
20,CGM_APTIVA,Abbott Laboratories,CGM Video Ad- Senior,12,2021,unknown,unknown,unknown,0,0,,0,,,0,,,,0
20,CGM_APTIVA,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,12,2021,instagram,instagram_explore,mobile_app,33,33,,0.57,,,0,,370.01,0,20
22,CGM_APTIVA,Abbott Laboratories,CGM Video Ad- Senior,12,2021,facebook,feed,mobile_web,81,86,,3.6,,,1,0.07,858.55,100,23.29
24,CGM_APTIVA,Abbott Laboratories,CGM Video Ad- Senior,12,2021,instagram,feed,mobile_app,141,144,,10.97,1.25,3,3,1.25,2136.84,145,24.34
25,CGM_APTIVA,Abbott Laboratories,CGM Video Ad- Senior,12,2021,facebook,facebook_stories,mobile_app,190,193,,8.05,2.4,4,4,2.4,997.73,43.02,25.24
26,CGM_APTIVA,Abbott Laboratories,CGM Video Ad- Senior,12,2021,facebook,feed,mobile_app,2969,3553,,142.05,45.32,58,94,30.55,1334.57,90.51,30.82
26,CGM_APTIVA,Abbott Laboratories,CGM Video Ad- Senior,12,2021,facebook,feed,desktop,72,76,,6.09,0.27,1,1,0.27,2948.89,33.33,27.16
26,CGM_APTIVA,Abbott Laboratories,CGM Video Ad- Senior,12,2021,facebook,video_feeds,mobile_app,495,523,,14.5,7.33,15,20,8.6,649.74,98.41,27.24
26,CGM_APTIVA,Abbott Laboratories,CGM Video Ad- Senior,12,2021,facebook,instant_article,mobile_app,250,325,,2.44,0.28,4,7,0.33,169.12,41.8,32.41
31,CGM_APTIVA,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,12,2021,facebook,marketplace,desktop,79,82,,0.83,,,0,,337.64,0,32.7
41,CGM_APTIVA,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,12,2021,audience_network,rewarded_video,mobile_app,925,1370,,145.21,65.5,26,26,65.5,4291.3,66.27,59.57
41,CGM_APTIVA,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,12,2021,instagram,instagram_stories,mobile_app,313,316,,16.26,2.76,7,7,2.76,2204.45,73.74,41.22
42,CGM_APTIVA,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,12,2021,audience_network,an_classic,mobile_app,2789,4436,,439.6,149.08,95,97,148.28,4085.17,92.58,67.07
42,CGM_APTIVA,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,12,2021,facebook,marketplace,mobile_app,733,800,,38.53,10.15,11,10,10.47,1873.98,41.96,45.96
42,CGM_APTIVA,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,12,2021,facebook,feed,mobile_app,64070,76749,,3878.06,190.96,1054,1785,107.69,2374.68,99.48,49.85
42,CGM_APTIVA,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,12,2021,instagram,feed,mobile_app,2686,2712,,241.68,143.53,44,44,143.53,3554.39,66.1,42.41
42,CGM_APTIVA,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,12,2021,facebook,feed,desktop,1140,1224,,116.95,47.99,19,24,68.68,4832.55,86.75,44.89
42,CGM_APTIVA,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,12,2021,facebook,feed,mobile_web,1615,1827,,93.25,24.68,11,63,36.62,2452.16,109.63,46.87
42,CGM_APTIVA,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,12,2021,facebook,video_feeds,mobile_app,9919,10575,,292.44,73.91,138,215,59.97,1156.39,80.61,44.19
42,CGM_APTIVA,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,12,2021,facebook,facebook_stories,mobile_app,3001,3056,,176.19,90.72,40,42,85.95,2374.56,59.61,42.74
42,CGM_APTIVA,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,12,2021,facebook,instream_video,mobile_app,1019,1052,,27.2,5.49,7,7,5.49,1461.22,52.69,43.74
42,CGM_APTIVA,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,12,2021,facebook,instant_article,mobile_app,3765,4936,,43.76,16.9,67,70,17.05,301.13,70.23,52.85
45,CGM_APTIVA,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,12,2021,unknown,unknown,unknown,0,0,,0,,,0,,,,0
3,CGM_EMPIRE_DME,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,7,2021,facebook,search,mobile_app,5,5,,0.11,,,0,,70,0,3
26,CGM_EMPIRE_DME,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,7,2021,messenger,messenger_stories,mobile_app,142,152,,19.22,6.25,7,8,5.97,3174.01,173.61,24.58
33,CGM_EMPIRE_DME,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,7,2021,facebook,instream_video,desktop,147,169,,4.47,0.88,3,3,0.88,798.67,40.2,36.41
33,CGM_EMPIRE_DME,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,7,2021,audience_network,rewarded_video,desktop,413,697,,15.75,5.37,9,9,5.37,707.73,53.77,58.8
34,CGM_EMPIRE_DME,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,7,2021,instagram,instagram_explore,mobile_app,112,128,,3.62,0.1,1,1,0.1,1037.97,20,39.05
34,CGM_EMPIRE_DME,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,7,2021,audience_network,an_classic,desktop,377,493,,10.09,3.51,5,5,3.51,620.77,23.45,45.05
34,CGM_EMPIRE_DME,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,7,2021,facebook,instant_article,mobile_app,305,346,,25.2,3.34,4,16,7.06,2569.36,130.34,37.68
35,CGM_EMPIRE_DME,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,7,2021,facebook,facebook_stories,mobile_app,1724,1856,,123.17,70.83,30,33,67.79,2100.29,64.13,37.53
36,CGM_EMPIRE_DME,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,7,2021,facebook,video_feeds,mobile_app,8738,9374,,430.22,97.37,182,314,61.59,1701.49,127.76,38.51
36,CGM_EMPIRE_DME,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,7,2021,audience_network,an_classic,mobile_app,11487,17152,,662.9,81.45,280,279,81.54,1448.64,59.36,51.22
36,CGM_EMPIRE_DME,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,7,2021,facebook,feed,desktop,14322,15500,,881.45,131.84,207,277,101.28,2189.28,66.23,38.89
36,CGM_EMPIRE_DME,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,7,2021,facebook,instream_video,mobile_app,1364,1452,,77.27,39.85,46,47,39.03,1914.4,119.27,37.71
36,CGM_EMPIRE_DME,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,7,2021,facebook,marketplace,desktop,1197,1379,,10.02,4.28,11,11,4.28,337.68,18.75,42.56
36,CGM_EMPIRE_DME,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,7,2021,audience_network,rewarded_video,mobile_app,4235,5881,,246,70.3,78,78,70.3,1511.91,48.54,49.02
36,CGM_EMPIRE_DME,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,7,2021,facebook,feed,mobile_app,82803,92087,,6577.51,112.87,2213,3389,72.19,2705.68,137.48,39.5
36,CGM_EMPIRE_DME,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,7,2021,facebook,feed,mobile_web,2283,2506,,184.66,81.04,36,105,61.35,2736.02,166.77,38.87
36,CGM_EMPIRE_DME,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,7,2021,instagram,feed,mobile_app,10190,10355,,475.49,153.13,105,122,140.24,1535.63,43.88,36.63
36,CGM_EMPIRE_DME,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,7,2021,facebook,marketplace,mobile_app,2917,3416,,185.76,50.02,79,82,47.9,2186.82,63.82,39.83
36,CGM_EMPIRE_DME,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,7,2021,unknown,unknown,unknown,0,0,,0,,,0,,,,0
36,CGM_EMPIRE_DME,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,7,2021,instagram,instagram_stories,mobile_app,426,465,,33.93,4.12,5,7,3.86,2696.64,42.6,39.51
3,CGM_EMPIRE_DME,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,8,2021,facebook,search,mobile_app,3,3,,0.12,,,0,,120,0,3
13,CGM_EMPIRE_DME,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,8,2021,messenger,messenger_stories,mobile_app,81,101,,6.79,1.83,2,2,1.83,805.62,22.62,16.28
16,CGM_EMPIRE_DME,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,8,2021,instagram,instagram_explore,mobile_app,62,74,,1.2,0.17,1,1,0.17,287.63,16.67,18.58
18,CGM_EMPIRE_DME,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,8,2021,audience_network,an_classic,desktop,329,424,,6.57,1.1,2,2,1.1,248.82,4.68,23.05
20,CGM_EMPIRE_DME,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,8,2021,audience_network,rewarded_video,desktop,354,556,,15.62,2.03,3,3,2.03,477.67,32.73,30.3
20,CGM_EMPIRE_DME,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,8,2021,facebook,facebook_stories,mobile_app,764,793,,45.42,19.99,18,18,19.99,1083.5,56.74,20.52
21,CGM_EMPIRE_DME,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,8,2021,facebook,marketplace,mobile_app,1934,2150,,108.95,34.96,36,41,31.13,940.85,33.31,22.96
21,CGM_EMPIRE_DME,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,8,2021,facebook,instant_article,mobile_app,241,320,,13.54,2.9,8,11,2.96,897.62,58.47,28.78
21,CGM_EMPIRE_DME,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,8,2021,facebook,feed,mobile_web,1469,1623,,126.76,48.39,21,85,26.59,1498.85,100.64,22.68
21,CGM_EMPIRE_DME,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,8,2021,instagram,instagram_stories,mobile_app,185,192,,10.96,1.13,1,1,1.13,1228.18,5.88,21.68
21,CGM_EMPIRE_DME,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,8,2021,audience_network,rewarded_video,mobile_app,2265,3162,,129.98,28.39,57,57,28.39,838.94,36.14,26.68
21,CGM_EMPIRE_DME,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,8,2021,facebook,instream_video,desktop,114,124,,2.73,0.36,1,1,0.36,416.04,7.69,22.8
21,CGM_EMPIRE_DME,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,8,2021,facebook,marketplace,desktop,952,1066,,7.1,1.14,4,4,1.14,168.75,5.51,23.66
22,CGM_EMPIRE_DME,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,8,2021,instagram,feed,mobile_app,5248,5306,,196.94,65.34,42,49,62.61,721.76,18.14,22.24
22,CGM_EMPIRE_DME,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,8,2021,audience_network,an_classic,mobile_app,6963,10427,,380.57,49.82,154,154,49.82,828.42,42.06,31.08
22,CGM_EMPIRE_DME,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,8,2021,facebook,feed,desktop,10361,10987,,552.02,74.06,122,195,54.71,1145.87,44.67,23
22,CGM_EMPIRE_DME,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,8,2021,facebook,video_feeds,mobile_app,4702,5042,,194.22,42.76,109,170,24.39,897.42,80.34,23.45
22,CGM_EMPIRE_DME,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,8,2021,facebook,instream_video,mobile_app,711,744,,45.52,27.35,23,23,27.35,1305.29,62.72,22.98
22,CGM_EMPIRE_DME,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,8,2021,facebook,feed,mobile_app,50571,55473,,3572.8,57.22,1388,2146,35.54,1531.76,108.56,23.61
22,CGM_EMPIRE_DME,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,8,2021,unknown,unknown,unknown,0,0,,0,,,0,,,,0
1,CGM_EMPIRE_DME,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,10,2021,facebook,search,desktop,1,1,,0.02,,,0,,20,0,1
3,CGM_EMPIRE_DME,Dexcom l | Mid form Pixel – Copy,CGM Video Ad- Senior,10,2021,instagram,instagram_explore,mobile_app,7,7,,0.06,,,0,,23.34,0,3
3,CGM_EMPIRE_DME,Dexcom l | Mid form Pixel – Copy,CGM Video Ad- Senior,10,2021,instagram,instagram_reels,mobile_app,4,4,,0.06,,,0,,40,0,3
5,CGM_EMPIRE_DME,Dexcom l | Mid form Pixel – Copy,CGM Video Ad- Senior,10,2021,facebook,marketplace,desktop,17,23,,0.43,,,0,,63.34,0,6.54
5,CGM_EMPIRE_DME,Dexcom l | Mid form Pixel – Copy,CGM Video Ad- Senior,10,2021,audience_network,rewarded_video,desktop,10,15,,1.4,0,1,1,0,928.77,0,5.6
5,CGM_EMPIRE_DME,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,10,2021,facebook,search,mobile_app,5,5,,0.92,,,0,,920,0,5
5,CGM_EMPIRE_DME,Dexcom l | Mid form Pixel – Copy,CGM Video Ad- Senior,10,2021,facebook,marketplace,mobile_app,27,30,,1.92,1.78,1,1,1.78,132.26,5.56,5.63
6,CGM_EMPIRE_DME,Dexcom l | Mid form Pixel – Copy,CGM Video Ad- Senior,10,2021,unknown,unknown,unknown,0,0,,0,,,0,,,,0
6,CGM_EMPIRE_DME,Dexcom l | Mid form Pixel – Copy,CGM Video Ad- Senior,10,2021,facebook,instant_article,mobile_app,40,48,,5.17,2.29,1,1,2.29,672.04,4.76,7.62
6,CGM_EMPIRE_DME,Dexcom l | Mid form Pixel – Copy,CGM Video Ad- Senior,10,2021,facebook,feed,mobile_web,29,31,,4.18,0.55,1,2,1.28,1306.44,60,6.21
6,CGM_EMPIRE_DME,Dexcom l | Mid form Pixel – Copy,CGM Video Ad- Senior,10,2021,instagram,instagram_stories,mobile_app,23,24,,0.8,,,0,,181.18,0,6.33
7,CGM_EMPIRE_DME,Dexcom l | Mid form Pixel – Copy,CGM Video Ad- Senior,10,2021,facebook,facebook_stories,mobile_app,44,45,,3.34,,,0,,472.48,0,7.13
7,CGM_EMPIRE_DME,Dexcom l | Mid form Pixel – Copy,CGM Video Ad- Senior,10,2021,facebook,feed,desktop,319,350,,38.39,15.1,6,8,13.12,867.86,8.55,7.39
7,CGM_EMPIRE_DME,Dexcom l | Mid form Pixel – Copy,CGM Video Ad- Senior,10,2021,facebook,instream_video,mobile_app,41,44,,7.33,,,0,,969.82,0,7.34
7,CGM_EMPIRE_DME,Dexcom l | Mid form Pixel – Copy,CGM Video Ad- Senior,10,2021,audience_network,an_classic,desktop,21,28,,0.44,,,0,,128.18,0,9.7
8,CGM_EMPIRE_DME,Dexcom l | Mid form Pixel – Copy,CGM Video Ad- Senior,10,2021,facebook,video_feeds,mobile_app,266,275,,20.32,14.9,5,8,7.94,493.58,34.31,8.16
8,CGM_EMPIRE_DME,Dexcom l | Mid form Pixel – Copy,CGM Video Ad- Senior,10,2021,audience_network,rewarded_video,mobile_app,189,242,,30.54,16.76,10,10,16.76,1107.02,34.28,10.39
8,CGM_EMPIRE_DME,Dexcom l | Mid form Pixel – Copy,CGM Video Ad- Senior,10,2021,instagram,feed,mobile_app,425,438,,44.66,37.29,5,5,37.29,649.37,9.9,8.15
8,CGM_EMPIRE_DME,Dexcom l | Mid form Pixel – Copy,CGM Video Ad- Senior,10,2021,audience_network,an_classic,mobile_app,321,398,,40.04,18.77,14,14,18.77,889.57,30.3,9.41
8,CGM_EMPIRE_DME,Dexcom l | Mid form Pixel – Copy,CGM Video Ad- Senior,10,2021,facebook,feed,mobile_app,555,612,,95.72,27.14,17,24,17.14,2021.11,24.75,8.37
28,CGM_EMPIRE_DME,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,10,2021,facebook,instream_video,desktop,58,62,,2.72,0.16,1,1,0.16,1339.84,100,29.42
44,CGM_EMPIRE_DME,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,10,2021,facebook,marketplace,mobile_app,1211,1309,,84.12,46.03,25,27,44.81,2638.9,77.69,46.84
44,CGM_EMPIRE_DME,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,10,2021,audience_network,an_classic,desktop,545,912,,32.37,13.59,3,3,13.59,1923.63,11.22,66.76
45,CGM_EMPIRE_DME,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,10,2021,facebook,instant_article,mobile_app,865,1026,,52.4,19.33,20,30,25.34,1924.12,168.26,53.36
45,CGM_EMPIRE_DME,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,10,2021,audience_network,rewarded_video,desktop,149,216,,15.11,1.61,4,4,1.61,3492.45,103.57,65.83
46,CGM_EMPIRE_DME,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,10,2021,unknown,unknown,unknown,0,0,,0,,,0,,,,0
48,CGM_EMPIRE_DME,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,10,2021,facebook,instream_video,mobile_app,833,865,,61.31,25.45,21,22,24.52,3309.61,110.09,49.66
48,CGM_EMPIRE_DME,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,10,2021,facebook,feed,desktop,6410,6908,,563.17,166.55,111,155,122.03,4695.08,100.84,51.3
48,CGM_EMPIRE_DME,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,10,2021,facebook,video_feeds,mobile_app,9973,10394,,337.57,90.87,172,256,57.83,1419,100.26,49.4
48,CGM_EMPIRE_DME,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,10,2021,facebook,feed,mobile_web,1044,1141,,79.08,14.65,6,38,33,3353.65,140.51,52.43
48,CGM_EMPIRE_DME,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,10,2021,audience_network,rewarded_video,mobile_app,3028,3797,,304.45,118.29,80,80,118.29,4077.2,111.72,59.78
48,CGM_EMPIRE_DME,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,10,2021,facebook,marketplace,desktop,619,751,,12.24,0.64,2,2,0.64,713.18,11.67,57.41
48,CGM_EMPIRE_DME,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,10,2021,audience_network,an_classic,mobile_app,10477,15157,,851.11,191.87,231,231,191.87,2804.61,66.05,68.65
48,CGM_EMPIRE_DME,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,10,2021,facebook,feed,mobile_app,22703,25336,,2077.18,209.29,605,987,116.54,4782.24,214.02,52.1
48,CGM_EMPIRE_DME,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,10,2021,facebook,facebook_stories,mobile_app,750,769,,47.64,17.58,12,12,17.58,2754.53,98.03,48.74
5,CGM_EMPIRE_DME,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,11,2021,facebook,instream_video,desktop,6,6,,0.19,,,0,,130,0,5
6,CGM_EMPIRE_DME,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,11,2021,audience_network,rewarded_video,desktop,16,19,,2.42,,,0,,598.3,0,6.73
9,CGM_EMPIRE_DME,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,11,2021,audience_network,an_classic,desktop,56,71,,2.4,,,0,,260.76,0,12.28
9,CGM_EMPIRE_DME,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,11,2021,facebook,instant_article,mobile_app,160,175,,13.43,5.27,2,5,3.74,524.89,47.96,9.68
10,CGM_EMPIRE_DME,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,11,2021,facebook,feed,mobile_web,142,148,,19.49,,,4,10.84,1030.05,13.4,10.21
10,CGM_EMPIRE_DME,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,11,2021,facebook,instream_video,mobile_app,187,194,,16.04,9.17,13,13,9.17,907.98,105.01,10.26
10,CGM_EMPIRE_DME,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,11,2021,audience_network,rewarded_video,mobile_app,524,675,,55.05,26.73,15,15,26.73,776.44,20.81,13.04
10,CGM_EMPIRE_DME,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,11,2021,facebook,marketplace,desktop,123,140,,2.71,0.52,1,1,0.52,187.62,5.26,10.86
10,CGM_EMPIRE_DME,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,11,2021,facebook,facebook_stories,mobile_app,127,131,,16.09,6.56,3,3,6.56,1767.56,14.05,10.62
10,CGM_EMPIRE_DME,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,11,2021,facebook,video_feeds,mobile_app,2133,2190,,86.23,14.36,46,71,8.34,296.58,24.26,10.23
10,CGM_EMPIRE_DME,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,11,2021,facebook,feed,mobile_app,3486,3788,,386.28,47.56,85,144,35.79,1190.12,39.51,10.72
10,CGM_EMPIRE_DME,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,11,2021,audience_network,an_classic,mobile_app,2161,2996,,230.38,50.92,47,46,51.38,793.27,16.28,13.81
10,CGM_EMPIRE_DME,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,11,2021,facebook,marketplace,mobile_app,331,373,,22.5,9.38,5,5,9.38,727.91,6,10.9
10,CGM_EMPIRE_DME,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,11,2021,facebook,feed,desktop,939,1008,,99.78,65.39,15,20,45.08,1093.97,28.45,10.65
11,CGM_EMPIRE_DME,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,11,2021,unknown,unknown,unknown,0,0,,0,,,0,,,,0
1,CGM_JESSUP,"Lookalike (US, 3%) - PageView (6.04) l  Mid form Pixel",CGM Video Ad- Senior,2,2021,facebook,feed,mobile_app,145,151,,7.82,1.56,5,6,1.3,51.79,3.97,1.04
1,CGM_JESSUP,"Lookalike (US, 3%) - PageView (6.04) l  Mid form Pixel",CGM Video Ad- Senior,2,2021,facebook,feed,desktop,39,39,,2.28,,,0,,58.46,0,1
1,CGM_JESSUP,"Lookalike (US, 8%) - PageView (6.04) l  Mid form Pixel",CGM Video Ad- Senior,2,2021,instagram,feed,mobile_app,4,4,,0.18,,,0,,45,0,1
1,CGM_JESSUP,"Lookalike (US, 8%) - PageView (6.04) l  Mid form Pixel",CGM Video Ad- Senior,2,2021,facebook,feed,mobile_web,3,3,,0.18,,,0,,60,0,1
1,CGM_JESSUP,"Lookalike (US, 8%) - PageView (6.04) l  Mid form Pixel",CGM Video Ad- Senior,2,2021,facebook,feed,desktop,39,40,,2.33,2.33,1,1,2.33,58.25,2.5,1.03
1,CGM_JESSUP,"Lookalike (US, 3%) - PageView (6.04) l  Mid form Pixel",CGM Video Ad- Senior,2,2021,facebook,video_feeds,mobile_app,30,30,,0.54,,,0,,18,0,1
1,CGM_JESSUP,"Lookalike (US, 8%) - PageView (6.04) l  Mid form Pixel",CGM Video Ad- Senior,2,2021,instagram,instagram_stories,mobile_app,3,3,,0.05,,,0,,16.67,0,1
1,CGM_JESSUP,"Lookalike (US, 3%) - PageView (6.04) l  Mid form Pixel",CGM Video Ad- Senior,2,2021,instagram,feed,mobile_app,6,6,,0.59,,,0,,98.33,0,1
1,CGM_JESSUP,"Lookalike (US, 3%) - PageView (6.04) l  Mid form Pixel",CGM Video Ad- Senior,2,2021,facebook,feed,mobile_web,3,3,,0.27,,,0,,90,0,1
1,CGM_JESSUP,"Lookalike (US, 8%) - PageView (6.04) l  Mid form Pixel",CGM Video Ad- Senior,2,2021,instagram,instagram_explore,mobile_app,1,1,,0.01,,,0,,10,0,1
1,CGM_JESSUP,"Lookalike (US, 3%) - PageView (6.04) l  Mid form Pixel",CGM Video Ad- Senior,2,2021,facebook,marketplace,mobile_app,4,4,,0.01,,,0,,2.5,0,1
1,CGM_JESSUP,"Lookalike (US, 8%) - PageView (6.04) l  Mid form Pixel",CGM Video Ad- Senior,2,2021,facebook,marketplace,mobile_app,1,1,,0,,,0,,0,0,1
1,CGM_JESSUP,"Lookalike (US, 8%) - PageView (6.04) l  Mid form Pixel",CGM Video Ad- Senior,2,2021,facebook,feed,mobile_app,148,152,,7.06,3.53,2,2,3.53,46.45,1.32,1.03
